"","AUTHOR","YEAR","REPORT_ID","ACCESSION_NUMBER","TREATMENT","DUNG_BEETLE_SPECIES","FUNCTIONAL_GROUP","INDIVIDUAL_DUNG_BEETLE_DRY_MASS_IN_MG","NUMBER_OF_BEETLES","TOTAL_BEETLE_WEIGHT_IN_MG","SPECIES_RICHNESS","PERCENTAGE_FEMALE_BEETLES","DAYS_OF_BEETLE_ACCESS","BEETLES_CONFINED_TO_CAGE","SURFACE_AREA_CM_SQUARED","DUNG_QUANTITY_IN_GRAMS","GRAMS_DUNG_PER_CM_SQUARED","GRAMS_DUNG_PER_BEETLE","DUNG_TYPE","DUNG_FROZEN_PRIOR_TO_ALIQUOTTING","DUNG_REMOVED_AFTER_BEETLE_ACTIVITY","PLANTS_GERMINATED_BEFORE_DUNG_ADDITION","PLANT_TYPE","PLANT_SPECIES","CLADE","DAYS_OF_PLANT_GROWTH","RESPONSE_AREA","RESPONSE_MEASUREMENT","TREATMENT_N","TREATMENT_MEAN","TREATMENT_SD","TREATMENT_SE","CONTROL_TREATMENT","CONTROL_N","CONTROL_MEAN","CONTROL_SD","CONTROL_SE","DATA_DEPENDENT_OR_INDEPENDENT","DATA_SOURCE..e.g..table.1.of.Fig..3.","EXPERIMENT_SETTING","yi","vi"
"1","Kabir et al.","1995","R01","A041","dung+beetles","Multiple","NA",NA,40,NA,2,50,9,"Y",1178,400,0.34,10,"Cattle","N","N","N","Seed","Wheat (cv Kallan Sona)","Monocot",69,"shoot","height",5,70.2,0.8,0.358,"dung_only",5,67.8,0.37,0.165,"Dependent","Table 14","Field",3.47607169346405,1.0041537209051
"2","Borghesio et al.","1999","R02","A061","dung+beetles","NA","NA",NA,NA,NA,NA,NA,5,"NA",864,510,0.59,NA,"Cattle","NA","N","Y","Plant","Multiple","Both",84,"shoot","weight",15,0.524,0.183,0.047,"dung_only",15,0.445,0.097,0.025,"Dependent","Figure 2","Field",0.52481483855138,0.137923843579395
"3","Borghesio et al.","1999","R02","A082","dung+beetles","NA","NA",NA,NA,NA,NA,NA,5,"NA",864,510,0.59,NA,"Cattle","NA","N","Y","Plant","Multiple","Both",85,"shoot","weight",15,0.176,0.203,0.053,"dung_only",15,0.207,0.086,0.022,"Dependent","Figure 3","Field",-0.193472283249749,0.133957192073098
"4","Bang et al.","2005","R03","A102","dung+beetles","Copris ochus","tunneler",NA,4,NA,1,50,NA,"Y",11025,NA,NA,NA,"Cattle","NA","NA","Y","Plant","Multiple","Both",165,"shoot","weight",3,75.33,11.71,6.761,"dung_only",3,62,8.72,5.034,"Dependent","Table 1","Field",1.03021959547324,0.75511270124142
"5","Bang et al.","2005","R03","A112","dung+beetles","Multiple","tunneler",NA,NA,NA,3,50,NA,"Y",11025,NA,NA,NA,"Cattle","NA","NA","Y","Plant","Multiple","Both",153,"shoot","weight",10,121.11,23.87,7.548,"dung_only",10,114.11,19.8,6.261,"Dependent","Table 2","Field",0.305683522065255,0.202336060391555
"6","Bang et al.","2005","R03","A127","dung+beetles","Multiple","tunneler",NA,NA,NA,3,50,NA,"Y",11025,NA,NA,NA,"Cattle","NA","NA","Y","Plant","Multiple","Both",184,"shoot","weight",10,137.13,25.85,8.174,"dung_only",10,128.8,28.75,9.092,"Dependent","Table 2","Field",0.291793643130801,0.202128588254289
"7","Bang et al.","2005","R03","A130","dung+beetles","Copris ochus","tunneler",NA,2,NA,1,50,40,"Y",1353,500,0.37,250,"Cattle","40","NA","N","Seed","Perennial ryegrass (Lolium perenne L.)","Monocot",70,"total","weight",3,32.3,5.24,3.025,"dung_only",3,25.3,1.69,0.976,"Independent","Table 3","Glasshouse",1.43460924489182,0.838175307127423
"8","Wu et al.","2014","R04","A134","dung+beetles","Onthophagus yubarinus","tunneler",NA,8,NA,1,NA,92,"Y",706.85,1000,1.415,125,"Yak","N","N","Y","Plant","Multiple","Both",92,"shoot","weight",5,31.356,3.08,1.378,"dung_only",5,23.677,2.382,1.065,"Independent","Figure 1","Field",2.51773762628252,0.716950137739936
"9","Wu et al.","2014","R04","A135","dung+beetles","Onthophagus yubarinus","tunneler",NA,8,NA,1,NA,92,"Y",706.85,1000,1.415,125,"Yak","N","N","Y","Plant","Multiple","Both",92,"shoot","weight",5,23.218,3.656,1.635,"dung_only",5,19.526,1.027,0.459,"Independent","Figure 1","Field",1.24114656402335,0.477022239669348
"10","Johnson et al.","2016","R05","A138","dung+beetles","Bubas bison","tunneler",216,5,1080,1,NA,28,"Y",1271,800,0.629,160,"Cattle","NA","N","Y","Seedling","Brassica oleracea L. var. alboglabra","Dicot",63,"shoot","weight",6,4,1.396,0.57,"dung_only",6,3.51,1.078,0.44,"Independent","Table S1","Field",0.362535082157033,0.338809653574775
